"Kind","Name","PercentLackOfCohesion","CountClassCoupled","SumCyclomatic","MaxNesting","CountClassDerived","CountClassBase","MaxInheritanceTree"
"Public Class","org.repodriller.filter.range.Range",0,6,8,2,0,2,1
"Public Constructor","org.repodriller.filter.range.Range.Range",,,1,0,,,
"Public Method","org.repodriller.filter.range.Range.get",,,7,2,,,
"Public Class","org.repodriller.filter.range.RangeTest",17,11,3,0,0,1,1
"Public Method","org.repodriller.filter.range.RangeTest.setUp",,,1,0,,,
"Public Method","org.repodriller.filter.range.RangeTest.should_get_commits_in_range",,,1,0,,,
"Public Method","org.repodriller.filter.range.RangeTest.should_get_commits_in_range_even_if_list_is_upside_down",,,1,0,,,
"Public Class","org.repodriller.filter.range.SinceCommit",33,6,5,2,0,2,1
"Public Constructor","org.repodriller.filter.range.SinceCommit.SinceCommit",,,1,0,,,
"Public Method","org.repodriller.filter.range.SinceCommit.get",,,3,2,,,
"Private Method","org.repodriller.filter.range.SinceCommit.isInTheRange",,,1,0,,,
"Public Class","org.repodriller.filter.range.SinceCommitTest",25,11,2,0,0,1,1
"Public Method","org.repodriller.filter.range.SinceCommitTest.setUp",,,1,0,,,
"Public Method","org.repodriller.filter.range.SinceCommitTest.should_get_commits_in_range",,,1,0,,,
"Public Class","org.repodriller.filter.range.SingleCommit",0,7,4,2,0,2,1
"Public Constructor","org.repodriller.filter.range.SingleCommit.SingleCommit",,,1,0,,,
"Public Method","org.repodriller.filter.range.SingleCommit.get",,,3,2,,,
"Public Class","org.repodriller.filter.range.SingleCommitTest",25,11,2,0,0,1,1
"Public Method","org.repodriller.filter.range.SingleCommitTest.setUp",,,1,0,,,
"Public Method","org.repodriller.filter.range.SingleCommitTest.should_get_specific_commits",,,1,0,,,
"Package","org.repodriller.integration",,,60,1,,,
"Public Class","org.repodriller.integration.BetweenDatesTest",0,13,3,0,0,1,1
"Public Method","org.repodriller.integration.BetweenDatesTest.setUp",,,1,0,,,
"Public Method","org.repodriller.integration.BetweenDatesTest.shouldFilterByDatesInAscedentOrder",,,1,0,,,
"Public Method","org.repodriller.integration.BetweenDatesTest.shouldFilterByDatesInReverseOrder",,,1,0,,,
"Public Class","org.repodriller.integration.BetweenTagsTest",0,9,2,0,0,1,1
"Public Method","org.repodriller.integration.BetweenTagsTest.getCommitsBetween2Revisions",,,1,0,,,
"Public Method","org.repodriller.integration.BetweenTagsTest.setUp",,,1,0,,,
"Public Class","org.repodriller.integration.CommitFilterIntegrationTest",38,12,4,0,0,1,1
"Public Method","org.repodriller.integration.CommitFilterIntegrationTest.setUp",,,1,0,,,
"Public Method","org.repodriller.integration.CommitFilterIntegrationTest.shouldFilterCommits",,,1,0,,,
"Public Method","org.repodriller.integration.CommitFilterIntegrationTest.shouldFilterCommitsUsingManyFilters",,,1,0,,,
"Public Method","org.repodriller.integration.CommitFilterIntegrationTest.shouldVisitAllIfNoFilter",,,1,0,,,
"Public Class","org.repodriller.integration.ConcurrencyTest",50,17,14,1,0,1,1
"Private Method","org.repodriller.integration.ConcurrencyTest.addVisitorToResults",,,1,0,,,
"Private Method","org.repodriller.integration.ConcurrencyTest.addVisitorToResults",,,1,0,,,
"Public Method","org.repodriller.integration.ConcurrencyTest.catchesInvalidConfig",,,2,1,,,
"Public Method","org.repodriller.integration.ConcurrencyTest.changingRepoState_Concurrent",,,1,0,,,
"Public Method","org.repodriller.integration.ConcurrencyTest.changingRepoState_Sequential",,,1,0,,,
"Public Method","org.repodriller.integration.ConcurrencyTest.changingRepoState_defaultThreads",,,1,0,,,
"Public Static Method","org.repodriller.integration.ConcurrencyTest.checkResults",,,2,0,,,
"Lambda Method","org.repodriller.integration.ConcurrencyTest.checkResults.(lambda_expr_1)",,,1,0,,,
"Public Method","org.repodriller.integration.ConcurrencyTest.heavyConcurrent",,,1,0,,,
"Public Method","org.repodriller.integration.ConcurrencyTest.sequential",,,1,0,,,
"Public Method","org.repodriller.integration.ConcurrencyTest.setPath",,,1,0,,,
"Public Static Method","org.repodriller.integration.ConcurrencyTest.setUp",,,1,0,,,
